E005,B,R. V. College of Engineering,"R V Vidyaneketan Post,Mysore Road,Bangalore",AI; BT; CE; CH; CS; CY; DS; EC; EE; EI; ET; IE; IM; ME; SE
E006,B,M S Ramaiah Institute of Technology,"M.S.R.I.T Post,M.S.R Nagar,Bangalore",AD; AI; AR; BT; CA; CE; CH; CS; CY; EC; EE; EI; ET; IE; IM; MD; ME
E007,B,Dayananda Sagar College of Engineering,"Shavige Malleshwara Hills,Kumarswamy Layout,Bangalore",AE; AI; AU; BT; CB; CD; CE; CH; CS; CY; DS; EC; EE; EI; ET; IE; MD; ME
E008,B,Bangalore Institute of Technology,"K.R.Road, V V Puram,Bangalore",AI; CE; CS; DS; EC; EE; EI; ET; EV; IE; IO; ME; RI
E010,B,Islamia Institute of Technology,"N P ROAD,Bangalore",
E012,B,Sir M.Visveswaraya Institute of Technology,"Krishnadevaraya Nagar,International Air Port Road,Hunasemaranahalli,Bangalore,",AI; BT; CE; CS; EC; EE; ET; IE; IO; ME
E014,B,S J C Institute of Technology,"P.B. No 20, B.B.Road,Chickballapur",AD; AE; CA; CD; CE; CK; CS; EC; IE; ME; SE
E015,B,Dr.T.Thimmaiah Institute of Technology,"Oorgaum Post,KOLAR GOLD FIELD (KGF),BANGARAPET -TQ kolar District",CA; CE; CS; EC; EE; ME; MN
E016,B,Siddaganga Institute of Technology,"B H Road,Tumkur",AD; AR; BT; CA; CE; CH; CS; EC; EE; EI; ET; IE; IM; ME
E018,B,Kalpatharu Institute of Technology,"B.H. Road,Hassan Circle,Tiptur",CE; CS; EC; IE; ME
E028,B,Tontadarya College of Engineering,"Mundargi Road,Gadag",CD; CE; CS; EA; EC; EE; ME
E029,B,Maratha Mandal Engineering College,"R S No. 104, Halbhavi Village,Post New Vantmuri, Via-Kakati,Belgaum",CS; EC; ME; RI
E032,B,R.T.E Socity`s Rural Engineering College,"Gadag-Hubli Road, Hulkoti,Tq:Dist:Gadag,Hulkoti",CE; CS; EC; ME; TX
E033,B,Sri Taralabalu Jagadguru Institute of Technology.,"Haveri Dist,Ranebennur",CE; CS; EC; EE; IE; ME
E037,B,K.L.S. Gogte Institute of Technology,"Udyambag,Belgaum",AE; AR; CE; CS; EC; EE; IE; ME
E038,B,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.,"Ashram Road,vijayapur",AR; CA; CE; CS; EC; EE; IE; ME
E039,B,Malik Sandal Institute of Arts and Architecture,"424.NAURASPUR, BAGALKOT ROAD,Bijapur",AR
E040,B,Hira Sugar Institute of Technology,"A/P Nidasoshi,Hukkeri Taluk,Belagavi District,",CE; CS; EC; EE; ME
E044,B,Bheemanna Khandre Institute of Technology,"Humnabad Road,Bidar-dist,Bhalki",CA; CE; CH; CK; CS; DS; EC; ME; RI
E045,B,Rao Bahadur Y.Mahabaleswarappa Engineering College,"Contonment,Bellari",CA; CE; CS; DS; EC; EE; IE; ME
E046,B,H K Es S L N College of Engineering,"Yermarus Camp,Raichur",CE; CS; EC; ME
E047,B,Malnad College of Engineering,"P.B. No.21,Salagame Road,Hassan",CA; CB; CE; CS; EC; EE; EI; IE; ME
E048,B,B M S College of Engineering,"P.B No 1908, Bull Temple Road,Basavanagudi,Bangalore",AD; AI; BT; CE; CH; CS; DS; EC; EI; ET; IE; IO; MD; ME; SE
E049,B,Basaveshwara Engineering College,"P.B. No.53,Vidyagiri,NIJALINGAPPA,Bagalkot",AI; BT; CE; CS; EC; IE
E050,B,B V B College of Engineering and Technology,"Vidyanagar,Hubli",
E053,B,N M A M Institutute of Technology,"Karkala Taluk,Udupi District,Nitte",
E054,B,K V G College of Engineering,"P.B.No. 12, Kurunjibhag,Sullia,D.K District",CA; CE; CS; EC; ME
E056,B,The National Institute Of Engineering(South Campus),"Manandavadi Road,Mysore",EC; EE; ME
E058,B,P E S College of Engineering,Mandya,AU; CA; CE; CS; EC; EE; IE
E059,B,P D A College of Engineering,"Aiwan-E-Shahi, Area,Gulbarga",AI; CD; CE; CR; CS; EC; EE; EG; EI; IE; IP; ME
E060,B,Dr. Ambedkar Institute Of Technology,"Out ring Road,Malathalli,Jnanabharathi Campus,Bangalore",AE; AI; CB; CE; CS; EC; IE
E062,B,Bapuji Institute of Engineering and Technology,"PB NO.325,Shamanur Road,Davangere",AI; BT; CB; CD; CE; CH; CS; DS; EC; EE; IE; ME; TX
E063,B,Sri Jagadguru Murugharajendra University (Formerly SJMIT),"P.B.No - 73, NH-4,Bye Pass, B.D.Road,Chitradurga",CE; CS; EC; EE; ME
E064,B,Adhichunchanagiri Institute of Technology,"P.B.No - 91,Jyothinagar Post,Chickmagalur",AI; CE; CS; DS; EC; EE; IE; ME
E065,B,Jawaharlal Nehru National College of Engineering,"P.B.No - 128, Navule,Savalanga Road,Shimoga",AI; CE; CS; EC; EE; ET; IE; ME; RI
E071,B,Vidya Vardhaka College of Engineering,"P.B. No 206,3rd Stage, Gokulam,Mysuru",CA; CE; CS; EC; EE; IE; ME
E075,B,Ballari Institute of Technology and Management,"Jnana Gangotri, 873/2,Bellary-Hospet road,Near Allipur Bellary",AI; CE; CF; CS; DS; EC; EE; ME
E076,B,Proudadevaraya Institute of Technology,"T.B Dam,Beside TSP LTD.,Indiranagar Hospet, Ballari DT",CA; CE; CS; EC; EE; ME
E077,B,Vidya Vikas Institute of Engineering and Technology,"# 127-128, Mysore- Bannur Road,Alanahally, Alanahally Post,Mysuru",CE; CS; EC; EE; IE; ME
E079,B,Acharya Institute of Technology,"Soldevanahalli,Hesarghatta Main Road,Bangalore",AE; AI; BT; CE; CS; DS; EC; EE; IE; ME; MT
E081,B,H M S Institute of Technology,"NH-4,Kesaramadu P.O Kyathasandra,Tumkur",CE; CS; EC; EE; ME
E082,B,J S S Academy of Technical Education,"Uttarahalli, KengeriI maiRoad,Mylasandra, Kengeri Hobli,Bangalore",CA; CE; CS; EC; EI; IE; ME; RA
E084,B,Sri Belimata Mahasamsthana Institute of Technology,"# 6162, NH-4,Bye-Pass Road,Indira Nagar,Nelamangala,Bang Rural Dist",
E085,B,APS College of Engineering,"Kanakapura Road,Somanahalli, Bangalore",CE; CS; EC; IE; ME
E086,B,Sri Sairam College of Engineering(Formerly Shirdi Sai Engg),"Sai Leo Nagara, Guddenahalli,Samandur Post, Anekal Taluk,Anekal,Bangalore",AI; CS; EC; EE; IE; ME
E087,B,Vivekananada Institute of Technology,"Gudimavu, Kengeri Hobli,Kumbalagodu Post,Bangalore",AI; CE; CS; EC; IE; ME
E088,B,Bangalore College of Engineering and Technology,"Near Heelalige Railway Station,Anekal Taluk,Chandapura, Bangalore",AI; CS; EC; EE; IE
E089,B,B T L Institute of Technology and Management,"No.259/B. Bommasandra Ind.Area,Hosur Road,Bangalore",
